,text,Does the sentence describe a personal reflection or thought?,Does the sentence contain a proper noun?,Does the sentence describe a physical action?,Does the sentence describe a personal or social interaction that leads to a change or revelation?,Does the sentence involve the mention of a specific object or item?,Does the sentence involve a description of physical environment or setting?,Does the sentence describe a relationship between people?,Does the sentence mention a specific location?,Is time mentioned in the input?,Is the sentence abstract rather than concrete?,Does the sentence express the narrator's opinion or judgment about an event or character?,Is the input related to a specific industry or profession?,Does the sentence include dialogue?,Does the sentence describe a visual experience or scene?,Does the input involve planning or organizing?,Does the sentence involve spatial reasoning?,Does the sentence involve an expression of personal values or beliefs?,Does the sentence contain a negation?,Does the sentence describe a sensory experience?,Does the sentence include technical or specialized terminology?,Does the input contain a number?,Does the sentence contain a cultural reference?,Does the text describe a mode of communication?,Does the input include a comparison or metaphor?,Does the sentence express a sense of belonging or connection to a place or community?,Does the sentence describe a specific sensation or feeling?,Does the text include a planning or decision-making process?,Does the sentence include a personal anecdote or story?,Does the sentence involve a discussion about personal or social values?,Does the text describe a journey?,Does the input contain a measurement?,Does the sentence describe a physical sensation?,Does the sentence include a direct speech quotation?,"Is the sentence reflective, involving self-analysis or introspection?",Does the input describe a specific texture or sensation?
732,great colleges but man we graduated and i'm actually finding myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,colleges but man we graduated and i'm actually finding myself a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,but man we graduated and i'm actually finding myself a little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,man we graduated and i'm actually finding myself a little jealous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,we graduated and i'm actually finding myself a little jealous of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,graduated and i'm actually finding myself a little jealous of her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,and i'm actually finding myself a little jealous of her because,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,i'm actually finding myself a little jealous of her because she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,actually finding myself a little jealous of her because she has,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,finding myself a little jealous of her because she has this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,myself a little jealous of her because she has this really,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,a little jealous of her because she has this really cool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,little jealous of her because she has this really cool job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,jealous of her because she has this really cool job washing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,of her because she has this really cool job washing dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,her because she has this really cool job washing dogs she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,because she has this really cool job washing dogs she had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,she has this really cool job washing dogs she had horses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,has this really cool job washing dogs she had horses back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,this really cool job washing dogs she had horses back home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,really cool job washing dogs she had horses back home and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,cool job washing dogs she had horses back home and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,job washing dogs she had horses back home and she really,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,washing dogs she had horses back home and she really loves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,dogs she had horses back home and she really loves animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,she had horses back home and she really loves animals and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,had horses back home and she really loves animals and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,horses back home and she really loves animals and she wants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,back home and she really loves animals and she wants to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,home and she really loves animals and she wants to be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,and she really loves animals and she wants to be a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,she really loves animals and she wants to be a vet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,really loves animals and she wants to be a vet and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,loves animals and she wants to be a vet and i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,animals and she wants to be a vet and i'm like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,and she wants to be a vet and i'm like man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,she wants to be a vet and i'm like man you're,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,wants to be a vet and i'm like man you're halfway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,to be a vet and i'm like man you're halfway there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,be a vet and i'm like man you're halfway there i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,a vet and i'm like man you're halfway there i'm a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,vet and i'm like man you're halfway there i'm a waitress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,and i'm like man you're halfway there i'm a waitress at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,i'm like man you're halfway there i'm a waitress at an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,like man you're halfway there i'm a waitress at an ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,man you're halfway there i'm a waitress at an ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,you're halfway there i'm a waitress at an ice cream parlor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,halfway there i'm a waitress at an ice cream parlor so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,there i'm a waitress at an ice cream parlor so um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,i'm a waitress at an ice cream parlor so um that's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,a waitress at an ice cream parlor so um that's not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,waitress at an ice cream parlor so um that's not i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,at an ice cream parlor so um that's not i don't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,an ice cream parlor so um that's not i don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,ice cream parlor so um that's not i don't know where,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,cream parlor so um that's not i don't know where i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,parlor so um that's not i don't know where i want,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,so um that's not i don't know where i want to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,um that's not i don't know where i want to be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,that's not i don't know where i want to be but,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,not i don't know where i want to be but i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,i don't know where i want to be but i know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,don't know where i want to be but i know it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,know where i want to be but i know it's not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,where i want to be but i know it's not that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,i want to be but i know it's not that and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,want to be but i know it's not that and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,to be but i know it's not that and then it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,be but i know it's not that and then it gets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,but i know it's not that and then it gets a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,i know it's not that and then it gets a little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,know it's not that and then it gets a little deeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,it's not that and then it gets a little deeper {cg},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,not that and then it gets a little deeper {cg} and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,that and then it gets a little deeper {cg} and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,and then it gets a little deeper {cg} and we share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,then it gets a little deeper {cg} and we share some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,it gets a little deeper {cg} and we share some other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,gets a little deeper {cg} and we share some other stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,a little deeper {cg} and we share some other stuff about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,little deeper {cg} and we share some other stuff about what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,deeper {cg} and we share some other stuff about what our,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,{cg} and we share some other stuff about what our lives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,and we share some other stuff about what our lives are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,we share some other stuff about what our lives are like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,share some other stuff about what our lives are like things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,some other stuff about what our lives are like things that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,other stuff about what our lives are like things that i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,stuff about what our lives are like things that i can't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,about what our lives are like things that i can't ever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,what our lives are like things that i can't ever tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,our lives are like things that i can't ever tell people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,lives are like things that i can't ever tell people at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,are like things that i can't ever tell people at home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,like things that i can't ever tell people at home this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,things that i can't ever tell people at home this girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,that i can't ever tell people at home this girl i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,i can't ever tell people at home this girl i can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,can't ever tell people at home this girl i can tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,ever tell people at home this girl i can tell her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,tell people at home this girl i can tell her the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,people at home this girl i can tell her the really,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,at home this girl i can tell her the really ugly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,home this girl i can tell her the really ugly stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,this girl i can tell her the really ugly stuff and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,girl i can tell her the really ugly stuff and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,i can tell her the really ugly stuff and she still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,can tell her the really ugly stuff and she still understands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,tell her the really ugly stuff and she still understands how,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,her the really ugly stuff and she still understands how it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,the really ugly stuff and she still understands how it can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,really ugly stuff and she still understands how it can still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,ugly stuff and she still understands how it can still be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,stuff and she still understands how it can still be pretty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,and she still understands how it can still be pretty she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,she still understands how it can still be pretty she understands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,still understands how it can still be pretty she understands like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,understands how it can still be pretty she understands like how,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,how it can still be pretty she understands like how nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,it can still be pretty she understands like how nice he's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,can still be pretty she understands like how nice he's gonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,still be pretty she understands like how nice he's gonna be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,be pretty she understands like how nice he's gonna be when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,pretty she understands like how nice he's gonna be when i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,she understands like how nice he's gonna be when i get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,understands like how nice he's gonna be when i get home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,like how nice he's gonna be when i get home and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,how nice he's gonna be when i get home and how,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,nice he's gonna be when i get home and how sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,he's gonna be when i get home and how sweet that'll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,gonna be when i get home and how sweet that'll be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,be when i get home and how sweet that'll be we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,when i get home and how sweet that'll be we are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,i get home and how sweet that'll be we are chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,get home and how sweet that'll be we are chain smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,home and how sweet that'll be we are chain smoking off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,and how sweet that'll be we are chain smoking off each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,how sweet that'll be we are chain smoking off each other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,sweet that'll be we are chain smoking off each other oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,that'll be we are chain smoking off each other oh that's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,be we are chain smoking off each other oh that's almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,we are chain smoking off each other oh that's almost out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,are chain smoking off each other oh that's almost out come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,chain smoking off each other oh that's almost out come on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,smoking off each other oh that's almost out come on and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,off each other oh that's almost out come on and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,each other oh that's almost out come on and we we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,other oh that's almost out come on and we we go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,oh that's almost out come on and we we go through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,that's almost out come on and we we go through this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,almost out come on and we we go through this entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,out come on and we we go through this entire pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,come on and we we go through this entire pack until,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,on and we we go through this entire pack until it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,and we we go through this entire pack until it's gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,we we go through this entire pack until it's gone and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,we go through this entire pack until it's gone and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,go through this entire pack until it's gone and then i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,through this entire pack until it's gone and then i say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,this entire pack until it's gone and then i say you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,entire pack until it's gone and then i say you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,pack until it's gone and then i say you know what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,until it's gone and then i say you know what uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,it's gone and then i say you know what uh this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,gone and then i say you know what uh this is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,and then i say you know what uh this is a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,then i say you know what uh this is a little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,i say you know what uh this is a little funny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,say you know what uh this is a little funny but,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,you know what uh this is a little funny but you're,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,know what uh this is a little funny but you're gonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,what uh this is a little funny but you're gonna have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,uh this is a little funny but you're gonna have to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,this is a little funny but you're gonna have to show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,is a little funny but you're gonna have to show me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,a little funny but you're gonna have to show me the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,little funny but you're gonna have to show me the way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,funny but you're gonna have to show me the way to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,but you're gonna have to show me the way to get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,you're gonna have to show me the way to get home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,gonna have to show me the way to get home because,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,have to show me the way to get home because although,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,to show me the way to get home because although i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,show me the way to get home because although i'm twenty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,me the way to get home because although i'm twenty three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,the way to get home because although i'm twenty three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,way to get home because although i'm twenty three years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,to get home because although i'm twenty three years old i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,get home because although i'm twenty three years old i don't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,home because although i'm twenty three years old i don't have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,because although i'm twenty three years old i don't have my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,although i'm twenty three years old i don't have my driver's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,i'm twenty three years old i don't have my driver's license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,twenty three years old i don't have my driver's license yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,three years old i don't have my driver's license yet and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,years old i don't have my driver's license yet and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,old i don't have my driver's license yet and i just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,i don't have my driver's license yet and i just jumped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,don't have my driver's license yet and i just jumped out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,have my driver's license yet and i just jumped out right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,my driver's license yet and i just jumped out right when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,driver's license yet and i just jumped out right when i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,license yet and i just jumped out right when i needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,yet and i just jumped out right when i needed to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,and i just jumped out right when i needed to and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,i just jumped out right when i needed to and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,just jumped out right when i needed to and she says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,jumped out right when i needed to and she says well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,out right when i needed to and she says well why,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,right when i needed to and she says well why don't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,when i needed to and she says well why don't you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,i needed to and she says well why don't you come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,needed to and she says well why don't you come back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,to and she says well why don't you come back to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,and she says well why don't you come back to my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,she says well why don't you come back to my house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,says well why don't you come back to my house and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,well why don't you come back to my house and i'll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,why don't you come back to my house and i'll give,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,don't you come back to my house and i'll give you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,you come back to my house and i'll give you a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,come back to my house and i'll give you a ride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,back to my house and i'll give you a ride i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,to my house and i'll give you a ride i say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,my house and i'll give you a ride i say ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,house and i'll give you a ride i say ok great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,and i'll give you a ride i say ok great and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,i'll give you a ride i say ok great and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,give you a ride i say ok great and we start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,you a ride i say ok great and we start walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,a ride i say ok great and we start walking and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,ride i say ok great and we start walking and uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,i say ok great and we start walking and uh we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,say ok great and we start walking and uh we get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,ok great and we start walking and uh we get to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,great and we start walking and uh we get to this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,and we start walking and uh we get to this um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,we start walking and uh we get to this um lots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,start walking and uh we get to this um lots of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,walking and uh we get to this um lots of uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,and uh we get to this um lots of uh lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,uh we get to this um lots of uh lights and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,we get to this um lots of uh lights and uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,get to this um lots of uh lights and uh the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,to this um lots of uh lights and uh the roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,this um lots of uh lights and uh the roads are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,um lots of uh lights and uh the roads are getting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,lots of uh lights and uh the roads are getting wider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,of uh lights and uh the roads are getting wider and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,uh lights and uh the roads are getting wider and wider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
